_runtime,_step,eval/mean_reward,ID,group,name,algo,team size,eval team size,seed,eval_seed,job_type,partial_obs,batch_size,_total_timesteps
53.3126421,104,-3.4516012396694213,l8wq9g2z,10_13_obs_13_b75a96d73d,qmix,qmix,10,10,3456,3456.0,test,False,32.0,
58.594182,105,-3.4516012396694213,dall5vys,10_13_obs_10_ced4891237,qmix,qmix,10,10,3456,3456.0,test,True,32.0,
49.031921,105,-3.4516012396694213,zsxif3ar,10_13_obs_6_1a0bd88e7e,qmix,qmix,10,10,3456,3456.0,test,True,32.0,
7660.3654218,1166,-1.8306559917355372,d1wou3fm,10_13_obs_10_8e518a370f,qmix,qmix,10,10,8001,3456.0,train,True,32.0,
33.2185029,104,-0.0670196280991735,mqo486g8,10_13_obs_6_6590c06485,iql,iql,10,10,3456,3456.0,test,True,32.0,
36.3717341,104,0.9304752066115702,0y250sqs,10_13_obs_6_c2bb5a1581,iql,iql,10,10,3456,8007.0,test,True,32.0,
33.6198672,104,-0.0670196280991735,lrybzx2g,10_13_obs_10_3c938a6ff6,iql,iql,10,10,3456,3456.0,test,True,32.0,
36.9466117,104,0.9304752066115702,b98o6i3f,10_13_obs_10_a1012af626,iql,iql,10,10,3456,8007.0,test,True,32.0,
44.4330172,104,0.4193181818181818,rtgjwejk,10_13_obs_6_31d8044478,iql,iql,10,10,3456,2004.0,test,True,32.0,
45.5582213,104,0.4193181818181818,fer6q1ko,10_13_obs_10_881c87e7b8,iql,iql,10,10,3456,2004.0,test,True,32.0,
53.4619319,105,-3.4516012396694213,osrhu28n,10_13_obs_6_1a0bd88e7e,qmix,qmix,10,10,3456,3456.0,test,True,32.0,
51.0881492,105,-3.4516012396694213,bzyuyx1q,10_13_obs_10_ced4891237,qmix,qmix,10,10,3456,3456.0,test,True,32.0,
45.2990171,105,-3.4516012396694213,yo20phjh,10_13_obs_10_ced4891237,qmix,qmix,10,10,3456,3456.0,test,True,32.0,
5417.522805929184,1172,-1.8105630165289255,busjrhsv,10_13_obs_6_d9bae0f997,vdn,vdn,10,10,8001,-1.0,train,True,32.0,
49.71044683456421,104,-0.0670196280991735,2u5bpa3d,iql_a769e6eb95,iql,iql,10,10,3456,3456.0,test,False,32.0,
40.16725730895996,104,-0.0670196280991735,s6k1zsgm,iql_a769e6eb95,iql,iql,10,10,3456,3456.0,test,False,32.0,
66.89754748344421,104,-0.7399793388429753,q2vkwhrs,vdn_3a58a42e46,vdn,vdn,10,10,3456,3456.0,test,False,32.0,
56.4922251701355,74,-0.7399793388429753,4tcizju0,vdn_3a58a42e46,vdn,vdn,10,10,3456,3456.0,test,False,32.0,
41.95702314376831,692,-0.7399793388429753,oeiycs7q,vdn_3a58a42e46,vdn,vdn,10,10,3456,3456.0,test,False,32.0,
