eval/burnt trees,eval/std_of_mean_reward,eval/mean_ep_length,eval/mean_reward,eval/mean_burnt trees,ID,group,name,algo,team size,eval team size,seed,eval_seed,job_type,partial_obs,batch_size,train/mean_reward,train/std_of_mean_reward,train/burnt trees,train/mean_ep_length,_total_timesteps
0.8099173553719008,,,-0.4752582644628103,,ein7vpzx,,ppo_10_13_agent_above_03_10_09_34_02,,-5,-5,None,,train,,256.0,,,,,500000.0
0.768595041322314,,,3.7254390495867766,,a42pc4lp,,ppo_10_13_agent_above_03_10_08_21_17,,-5,-5,None,,train,,256.0,,,,,1000000.0
0.8925619834710744,,,5.360278925619834,,8uh08xsg,,ppo_10_13_fire_adjacent_03_10_08_21_17,,-5,-5,None,,train,,256.0,,,,,500000.0
0.48760330578512395,,,7.566038223140494,,5q0m7dql,,ppo_10_13_agent_adjacent_03_10_08_21_17,,-5,-5,None,,train,,256.0,,,,,500000.0
0.2231404958677686,,,0.21547865013774103,,ml5y5tdr,,ppo_15_13_agent_adjacent_03_09_19_53_19,,-5,-5,None,,train,,256.0,,,,,500000.0
0.4214876033057851,,,2.3167871900826458,,i4uzxunh,,ppo_10_13_agent_above_03_09_19_53_19,,-5,-5,None,,train,,256.0,,,,,500000.0
0.7603305785123967,,,0.7405991735537195,,51sjde2h,,ppo_10_13_agent_adjacent_03_09_19_53_19,,-5,-5,None,,train,,256.0,,,,,500000.0
0.8347107438016529,,,3.040005165289256,,2ouga8c8,,ppo_10_13_fire_adjacent_03_09_19_53_19,,-5,-5,None,,train,,256.0,,,,,500000.0
0.6611570247933884,,,0.2493285123966944,,hgcruj59,,ppo_5_13_fire_entropy_03_09_12_43_04,,-5,-5,None,,train,,256.0,,,,,500000.0
0.9504132231404959,,,-1.7637654958677689,,ky9xul5g,,ppo_10_13_fire_entropy_03_09_12_41_07,,-5,-5,None,,train,,256.0,,,,,500000.0
0.8429752066115702,,,-0.5041322314049588,,snweeyk7,,ppo_5_13_agent_above_03_09_12_41_07,,-5,-5,None,,train,,256.0,,,,,500000.0
,,25.0,0.9082128405570984,,ayu4jmfv,,ppo_5_13_agent_adjacent_03_09_12_24_22,,-5,-5,None,,train,,256.0,,,,,1000000.0
0.2727272727272727,,16.0,0.1931043388429753,,xeb9333f,,ppo_10_13_fire_adjacent_03_09_11_27_45,,-5,-5,None,,train,,256.0,,,,,1000000.0
